Product Name,Selling Price,Original Price,Discount,Rating,Rating Count
DELL 14 (i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) 7440 / Inspiron 14 Plus T...,"₹68,990","₹81,646",15% off,N/A,N/A
Acer Aspire 14 Office 2024 + M365 Basic (i5 14th Gen) Intel Core 5 210 H - (16 GB/512 GB SSD/Windows 1...,"₹62,990","₹77,999",19% off,4.2,5 Ratings & 0 Reviews
HP MS Office 2024 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0045TU Thin ...,"₹64,990","₹69,023",5% off,N/A,N/A
HP OMEN AI AMD Ryzen AI 7 Octa Core 350 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce...,"₹1,34,990","₹1,62,996",17% off,4.4,19 Ratings & 1 Reviews
Lenovo IdeaPad Slim 5 WUXGA IPS Office 2024 Full Metal Body AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 ...,"₹69,490","₹79,890",13% off,4.1,98 Ratings & 12 Reviews
MSI Vector 16 HX Intel Core i7 14th Gen 14700HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,97,990","₹2,29,990",13% off,N/A,N/A
"Apple MacBook Pro (M5 Max, 2026) M5 Max - (36 GB/2 TB SSD/Tahoe) MGDQ4HN/A","₹3,99,900",N/A,N/A,N/A,N/A
ASUS ROG Strix G16 (2025) with Office 2024 + M365 Basic* AMD Ryzen 9 16 Core 8940HX - (16 GB/1 TB SSD/...,"₹1,54,990","₹1,73,990",10% off,N/A,N/A
HP 255R G10 (2026) Professional DDR5 5600Mhz AMD Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 1...,"₹49,990","₹80,990",38% off,N/A,N/A
Infinix Inbook Y2 Plus Intel Core i7 11th Gen 1195G7 - (16 GB/512 GB SSD/Windows 11 Home) XL29 Thin an...,"₹45,990","₹69,990",34% off,4.2,6 Ratings & 0 Reviews
MSI Raider 18 HX AI Intel Core Ultra 9 285HX - (64 GB/4 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA G...,"₹4,39,990","₹4,81,990",8% off,N/A,N/A
Lenovo Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) G3 IAP Thin and Light Laptop,"₹45,990","₹88,414",47% off,4.3,106 Ratings & 7 Reviews
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,"₹74,990","₹1,08,999",31% off,4.4,895 Ratings & 76 Reviews
"ASUS ROG Flow Z13 (2026) for Creator, MSO 2024 + M365 Basic, AI PC NPU upto 50TOPS AMD Ryzen AI Max+ 3...","₹3,79,990","₹4,19,990",9% off,N/A,N/A
